UboatName,TotalShipsSunked,Days_in_service,Days_per_ship,FateDate,WarOutCome
U-1,0,1922,,1940-04-06,Did not survive the War
U-10,2,3500,1750,1944-08-01,Did not survive the War
U-100,25,441,17,1941-03-17,Did not survive the War
U-1000,0,790,,1945-03-01,Did not survive the War
U-1001,0,828,,1945-04-08,Did not survive the War
U-1002,0,859,,1945-05-09,Survived the war
U-1003,0,814,,1945-03-25,Did not survive the War
U-1004,2,859,429,1945-05-09,Survived the war
U-1005,0,864,,1945-05-14,Survived the war
U-1006,0,654,,1944-10-16,Did not survive the War
U-1007,0,852,,1945-05-02,Survived the war
U-1008,0,856,,1945-05-06,Survived the war
U-1009,0,495,,1945-05-10,Survived the war
U-101,23,1949,84,1945-05-03,Survived the war
U-1010,0,499,,1945-05-14,Survived the war
U-1013,0,76,,1944-03-17,Did not survive the War
U-1014,0,400,,1945-02-04,Did not survive the War
U-1015,0,499,,1945-05-14,Survived the war
U-1016,0,490,,1945-05-05,Survived the war
U-1017,2,484,242,1945-04-29,Did not survive the War
U-1018,1,423,423,1945-02-27,Did not survive the War
U-1019,0,494,,1945-05-09,Survived the war
U-102,1,182,182,1940-07-01,Did not survive the War
U-1020,0,374,,1945-01-09,Did not survive the War
U-1021,0,438,,1945-03-14,Did not survive the War
U-1022,2,494,247,1945-05-09,Survived the war
U-1023,1,495,495,1945-05-10,Survived the war
U-1024,0,467,,1945-04-12,Did not survive the War
U-1025,0,490,,1945-05-05,Survived the war
U-103,45,1949,43,1945-05-03,Survived the war
U-104,1,332,332,1940-11-28,Did not survive the War
U-105,23,1248,54,1943-06-02,Did not survive the War
U-1051,2,391,195,1945-01-26,Did not survive the War
U-1052,0,494,,1945-05-09,Survived the war
U-1053,0,411,,1945-02-15,Did not survive the War
U-1054,0,259,,1944-09-16,Did not survive the War
U-1055,4,478,119,1945-04-23,Did not survive the War
U-1056,0,490,,1945-05-05,Survived the war
U-1057,0,494,,1945-05-09,Survived the war
U-1058,0,495,,1945-05-10,Survived the war
U-1059,0,443,,1944-03-19,Did not survive the War
U-106,22,1309,59,1943-08-02,Did not survive the War
U-1060,0,665,,1944-10-27,Did not survive the War
U-1061,0,859,,1945-05-09,Survived the war
U-1062,0,638,,1944-09-30,Did not survive the War
U-1063,0,470,,1945-04-15,Did not survive the War
U-1064,1,494,494,1945-05-09,Survived the war
U-1065,0,464,,1945-04-09,Did not survive the War
U-107,39,1691,43,1944-08-18,Did not survive the War
U-108,26,1562,60,1944-04-11,Did not survive the War
U-109,12,1219,101,1943-05-04,Did not survive the War
U-11,0,3775,,1945-05-03,Survived the war
U-110,3,494,164,1941-05-09,Did not survive the War
U-1101,0,855,,1945-05-05,Survived the war
U-1102,0,498,,1945-05-13,Survived the war
U-1103,0,855,,1945-05-05,Survived the war
U-1104,0,859,,1945-05-09,Survived the war
U-1105,1,495,495,1945-05-10,Survived the war
U-1106,0,453,,1945-03-29,Did not survive the War
U-1107,2,485,242,1945-04-30,Did not survive the War
U-1108,0,494,,1945-05-09,Survived the war
U-1109,0,497,,1945-05-12,Survived the war
U-111,4,642,160,1941-10-04,Did not survive the War
U-1110,0,499,,1945-05-14,Survived the war
U-1131,0,454,,1945-03-30,Did not survive the War
U-1132,0,490,,1945-05-05,Survived the war
U-116,1,643,643,1942-10-06,Did not survive the War
U-1161,0,855,,1945-05-05,Survived the war
U-1162,0,855,,1945-05-05,Survived the war
U-1163,1,859,859,1945-05-09,Survived the war
U-1164,0,570,,1944-07-24,Did not survive the War
U-1165,1,859,859,1945-05-09,Survived the war
U-1166,0,853,,1945-05-03,Survived the war
U-1167,0,819,,1945-03-30,Did not survive the War
U-1168,0,854,,1945-05-04,Survived the war
U-1169,0,818,,1945-03-29,Did not survive the War
U-117,0,948,,1943-08-07,Did not survive the War
U-1170,0,852,,1945-05-02,Survived the war
U-1171,0,859,,1945-05-09,Survived the war
U-1172,2,757,378,1945-01-27,Did not survive the War
U-118,4,892,223,1943-06-12,Did not survive the War
U-119,1,539,539,1943-06-24,Did not survive the War
U-1191,0,549,,1944-07-03,Did not survive the War
U-1192,0,853,,1945-05-03,Survived the war
U-1193,0,855,,1945-05-05,Survived the war
U-1194,0,859,,1945-05-09,Survived the war
U-1195,2,827,413,1945-04-07,Did not survive the War
U-1196,0,852,,1945-05-02,Survived the war
U-1197,0,851,,1945-05-01,Did not survive the War
U-1198,0,858,,1945-05-08,Survived the war
U-1199,0,751,,1945-01-21,Did not survive the War
U-12,0,1741,,1939-10-08,Did not survive the War
U-120,0,1951,,1945-05-05,Survived the war
U-1200,0,681,,1944-11-12,Did not survive the War
U-1201,0,853,,1945-05-03,Survived the war
U-1202,1,859,859,1945-05-09,Survived the war
U-1203,1,859,859,1945-05-09,Survived the war
U-1204,0,855,,1945-05-05,Survived the war
U-1205,0,853,,1945-05-03,Survived the war
U-1206,0,834,,1945-04-14,Did not survive the War
U-1207,0,490,,1945-05-05,Survived the war
U-1208,1,420,420,1945-02-24,Did not survive the War
U-1209,0,352,,1944-12-18,Did not survive the War
U-121,0,1951,,1945-05-05,Survived the war
U-1210,0,488,,1945-05-03,Survived the war
U-122,1,538,538,1940-06-22,Did not survive the War
U-1221,0,823,,1945-04-03,Did not survive the War
U-1222,0,557,,1944-07-11,Did not survive the War
U-1223,1,855,855,1945-05-05,Survived the war
U-1224,0,498,,1944-05-13,Did not survive the War
U-1225,0,540,,1944-06-24,Did not survive the War
U-1226,0,661,,1944-10-23,Did not survive the War
U-1227,1,853,853,1945-05-03,Survived the war
U-1228,1,867,867,1945-05-17,Survived the war
U-1229,0,597,,1944-08-20,Did not survive the War
U-123,44,1692,38,1944-08-19,Did not survive the War
U-1230,1,855,855,1945-05-05,Survived the war
U-1231,0,863,,1945-05-13,Survived the war
U-1232,3,853,284,1945-05-03,Survived the war
U-1233,0,855,,1945-05-05,Survived the war
U-1234,0,490,,1945-05-05,Survived the war
U-1235,0,470,,1945-04-15,Did not survive the War
U-124,48,1187,24,1943-04-02,Did not survive the War
U-125,17,1221,71,1943-05-06,Did not survive the War
U-126,25,1279,51,1943-07-03,Did not survive the War
U-127,0,348,,1941-12-15,Did not survive the War
U-1271,0,859,,1945-05-09,Survived the war
U-1272,0,860,,1945-05-10,Survived the war
U-1273,0,413,,1945-02-17,Did not survive the War
U-1274,1,471,471,1945-04-16,Did not survive the War
U-1275,0,488,,1945-05-03,Survived the war
U-1276,1,416,416,1945-02-20,Did not survive the War
U-1277,0,519,,1945-06-03,Survived the war
U-1278,0,413,,1945-02-17,Did not survive the War
U-1279,0,423,,1945-02-27,Did not survive the War
U-128,12,866,72,1943-05-17,Did not survive the War
U-129,29,1325,45,1944-08-18,Did not survive the War
U-13,9,1977,219,1940-05-31,Did not survive the War
U-130,24,800,33,1943-03-12,Did not survive the War
U-1301,0,859,,1945-05-09,Survived the war
U-1302,3,431,143,1945-03-07,Did not survive the War
U-1303,0,490,,1945-05-05,Survived the war
U-1304,0,490,,1945-05-05,Survived the war
U-1305,1,495,495,1945-05-10,Survived the war
U-1306,0,490,,1945-05-05,Survived the war
U-1307,0,494,,1945-05-09,Survived the war
U-1308,0,486,,1945-05-01,Did not survive the War
U-131,1,350,350,1941-12-17,Did not survive the War
U-132,9,672,74,1942-11-04,Did not survive the War
U-133,1,437,437,1942-03-14,Did not survive the War
U-134,3,968,322,1943-08-27,Did not survive the War
U-135,3,925,308,1943-07-15,Did not survive the War
U-136,7,556,79,1942-07-11,Did not survive the War
U-137,7,1951,278,1945-05-05,Survived the war
U-138,6,534,89,1941-06-18,Did not survive the War
U-139,0,1951,,1945-05-05,Survived the war
U-14,9,3777,419,1945-05-05,Survived the war
U-140,4,1951,487,1945-05-05,Survived the war
U-1405,0,490,,1945-05-05,Survived the war
U-1406,0,124,,1945-05-05,Survived the war
U-1407,0,124,,1945-05-05,Survived the war
U-141,4,1951,487,1945-05-05,Survived the war
U-142,0,1951,,1945-05-05,Survived the war
U-143,1,2182,2182,1945-12-22,Survived the war
U-144,1,587,587,1941-08-10,Did not survive the War
U-145,0,2182,,1945-12-22,Survived the war
U-146,1,1951,1951,1945-05-05,Survived the war
U-147,2,518,259,1941-06-02,Did not survive the War
U-148,0,1951,,1945-05-05,Survived the war
U-149,1,2181,2181,1945-12-21,Survived the war
U-15,3,1490,496,1940-01-30,Did not survive the War
U-150,0,2181,,1945-12-21,Survived the war
U-151,0,1951,,1945-05-05,Survived the war
U-152,0,1951,,1945-05-05,Survived the war
U-153,3,923,307,1943-07-13,Did not survive the War
U-154,10,1279,127,1944-07-03,Did not survive the War
U-155,26,1815,69,1945-12-21,Survived the war
U-156,19,796,41,1943-03-08,Did not survive the War
U-157,1,528,528,1942-06-13,Did not survive the War
U-158,17,545,32,1942-06-30,Did not survive the War
U-159,23,938,40,1943-07-28,Did not survive the War
U-16,2,1393,696,1939-10-25,Did not survive the War
U-160,26,924,35,1943-07-14,Did not survive the War
U-161,13,999,76,1943-09-27,Did not survive the War
U-162,14,610,43,1942-09-03,Did not survive the War
U-163,4,801,200,1943-03-13,Did not survive the War
U-164,3,735,245,1943-01-06,Did not survive the War
U-165,3,634,211,1942-09-27,Did not survive the War
U-166,4,575,143,1942-07-30,Did not survive the War
U-167,1,460,460,1943-04-06,Did not survive the War
U-168,3,1374,458,1944-10-06,Did not survive the War
U-169,0,450,,1943-03-27,Did not survive the War
U-17,3,3777,1259,1945-05-05,Survived the war
U-170,1,1429,1429,1945-11-30,Survived the war
U-171,3,646,215,1942-10-09,Did not survive the War
U-172,26,1076,41,1943-12-13,Did not survive the War
U-173,1,684,684,1942-11-16,Did not survive the War
U-174,5,846,169,1943-04-27,Did not survive the War
U-175,10,836,83,1943-04-17,Did not survive the War
U-176,11,864,78,1943-05-15,Did not survive the War
U-177,14,1131,80,1944-02-06,Did not survive the War
U-178,13,1332,102,1944-08-25,Did not survive the War
U-179,1,645,645,1942-10-08,Did not survive the War
U-18,3,3524,1174,1944-08-25,Did not survive the War
U-180,2,1330,665,1944-08-23,Did not survive the War
U-181,27,1868,69,1946-02-12,Survived the war
U-182,5,500,100,1943-05-16,Did not survive the War
U-183,4,1208,302,1945-04-23,Did not survive the War
U-184,1,324,324,1942-11-21,Did not survive the War
U-185,9,600,66,1943-08-24,Did not survive the War
U-186,3,496,165,1943-05-12,Did not survive the War
U-187,0,764,,1943-02-04,Did not survive the War
U-188,9,967,107,1944-08-25,Did not survive the War
U-189,0,477,,1943-04-23,Did not survive the War
U-19,15,3541,236,1944-09-11,Did not survive the War
U-190,2,1229,614,1945-05-14,Survived the war
U-191,1,477,477,1943-04-23,Did not survive the War
U-192,0,490,,1943-05-06,Did not survive the War
U-193,1,844,844,1944-04-24,Did not survive the War
U-194,0,539,,1943-06-24,Did not survive the War
U-195,2,1217,608,1945-05-02,Survived the war
U-196,3,1065,355,1944-12-01,Did not survive the War
U-197,3,596,198,1943-08-20,Did not survive the War
U-198,11,954,86,1944-08-12,Did not survive the War
U-199,2,576,288,1943-07-31,Did not survive the War
U-2,0,3385,,1944-04-08,Did not survive the War
U-20,13,3175,244,1944-09-10,Did not survive the War
U-200,0,539,,1943-06-24,Did not survive the War
U-201,24,1143,47,1943-02-17,Did not survive the War
U-202,9,882,98,1943-06-02,Did not survive the War
U-203,21,844,40,1943-04-25,Did not survive the War
U-204,5,291,58,1941-10-19,Did not survive the War
U-205,1,777,777,1943-02-17,Did not survive the War
U-206,3,332,110,1941-11-29,Did not survive the War
U-207,2,253,126,1941-09-11,Did not survive the War
U-208,1,340,340,1941-12-07,Did not survive the War
U-209,3,856,285,1943-05-07,Did not survive the War
U-21,6,3319,553,1945-02-01,Did not survive the War
U-210,0,582,,1942-08-06,Did not survive the War
U-211,1,687,687,1943-11-19,Did not survive the War
U-212,1,932,932,1944-07-21,Did not survive the War
U-213,0,576,,1942-07-31,Did not survive the War
U-214,4,1302,325,1944-07-26,Did not survive the War
U-215,1,548,548,1942-07-03,Did not survive the War
U-216,1,657,657,1942-10-20,Did not survive the War
U-217,3,885,295,1943-06-05,Did not survive the War
U-218,2,1799,899,1945-12-05,Survived the war
U-219,0,1311,,1945-08-04,Survived the war
U-22,9,1547,171,1940-03-27,Did not survive the War
U-220,2,300,150,1943-10-28,Did not survive the War
U-221,21,634,30,1943-09-27,Did not survive the War
U-222,0,244,,1942-09-02,Did not survive the War
U-223,4,819,204,1944-03-30,Did not survive the War
U-224,2,377,188,1943-01-13,Did not survive the War
U-225,1,417,417,1943-02-22,Did not survive the War
U-226,1,674,674,1943-11-06,Did not survive the War
U-227,0,484,,1943-04-30,Did not survive the War
U-228,0,1008,,1944-10-05,Did not survive the War
U-229,2,629,314,1943-09-22,Did not survive the War
U-23,9,3175,352,1944-09-10,Did not survive the War
U-230,4,954,238,1944-08-12,Did not survive the War
U-231,0,742,,1944-01-13,Did not survive the War
U-232,0,554,,1943-07-09,Did not survive the War
U-2321,1,494,494,1945-05-09,Survived the war
U-2322,1,494,494,1945-05-09,Survived the war
U-2323,0,207,,1944-07-26,Did not survive the War
U-2324,0,494,,1945-05-09,Survived the war
U-2325,0,494,,1945-05-09,Survived the war
U-2326,0,499,,1945-05-14,Survived the war
U-2327,0,487,,1945-05-02,Survived the war
U-2328,0,494,,1945-05-09,Survived the war
U-2329,0,494,,1945-05-09,Survived the war
U-233,0,551,,1944-07-05,Did not survive the War
U-2330,0,488,,1945-05-03,Survived the war
U-2331,0,283,,1944-10-10,Did not survive the War
U-2332,0,488,,1945-05-03,Survived the war
U-2333,0,490,,1945-05-05,Survived the war
U-2334,0,494,,1945-05-09,Survived the war
U-2335,0,494,,1945-05-09,Survived the war
U-2336,2,500,250,1945-05-15,Survived the war
U-2337,0,494,,1945-05-09,Survived the war
U-2338,0,489,,1945-05-04,Survived the war
U-2339,0,490,,1945-05-05,Survived the war
U-234,0,869,,1945-05-19,Survived the war
U-2340,0,454,,1945-03-30,Did not survive the War
U-2341,0,490,,1945-05-05,Survived the war
U-2342,0,360,,1944-12-26,Did not survive the War
U-2343,0,490,,1945-05-05,Survived the war
U-2344,0,414,,1945-02-18,Did not survive the War
U-2345,0,494,,1945-05-09,Survived the war
U-2346,0,490,,1945-05-05,Survived the war
U-2347,0,490,,1945-05-05,Survived the war
U-2348,0,494,,1945-05-09,Survived the war
U-2349,0,490,,1945-05-05,Survived the war
U-235,0,1199,,1945-04-14,Did not survive the War
U-2350,0,494,,1945-05-09,Survived the war
U-2351,0,490,,1945-05-05,Survived the war
U-2352,0,490,,1945-05-05,Survived the war
U-2353,0,494,,1945-05-09,Survived the war
U-2354,0,494,,1945-05-09,Survived the war
U-2355,0,488,,1945-05-03,Survived the war
U-2356,0,490,,1945-05-05,Survived the war
U-2357,0,490,,1945-05-05,Survived the war
U-2358,0,490,,1945-05-05,Survived the war
U-2359,0,487,,1945-05-02,Survived the war
U-236,0,1220,,1945-05-05,Survived the war
U-2360,0,490,,1945-05-05,Survived the war
U-2361,0,128,,1945-05-09,Survived the war
U-2362,0,124,,1945-05-05,Survived the war
U-2363,0,128,,1945-05-09,Survived the war
U-2364,0,124,,1945-05-05,Survived the war
U-2365,0,127,,1945-05-08,Survived the war
U-2366,0,124,,1945-05-05,Survived the war
U-2367,0,124,,1945-05-05,Survived the war
U-2368,0,124,,1945-05-05,Survived the war
U-2369,0,124,,1945-05-05,Survived the war
U-237,0,1189,,1945-04-04,Did not survive the War
U-2371,0,122,,1945-05-03,Survived the war
U-238,4,404,101,1944-02-09,Did not survive the War
U-239,0,570,,1944-07-24,Did not survive the War
U-24,6,3159,526,1944-08-25,Did not survive the War
U-240,0,865,,1945-05-15,Survived the war
U-241,0,503,,1944-05-18,Did not survive the War
U-242,3,825,275,1945-04-05,Did not survive the War
U-243,0,554,,1944-07-08,Did not survive the War
U-244,0,864,,1945-05-14,Survived the war
U-245,3,859,286,1945-05-09,Survived the war
U-246,0,806,,1945-03-17,Did not survive the War
U-247,1,609,609,1944-09-01,Did not survive the War
U-248,0,746,,1945-01-16,Did not survive the War
U-249,0,860,,1945-05-10,Survived the war
U-25,8,1675,209,1940-08-02,Did not survive the War
U-250,1,576,576,1944-07-30,Did not survive the War
U-2501,0,488,,1945-05-03,Survived the war
U-2502,0,494,,1945-05-09,Survived the war
U-2503,0,489,,1945-05-04,Survived the war
U-2504,0,488,,1945-05-03,Survived the war
U-2505,0,488,,1945-05-03,Survived the war
U-2506,0,494,,1945-05-09,Survived the war
U-2507,0,490,,1945-05-05,Survived the war
U-2508,0,488,,1945-05-03,Survived the war
U-2509,0,463,,1945-04-08,Did not survive the War
U-251,2,1569,784,1945-04-19,Did not survive the War
U-2510,0,487,,1945-05-02,Survived the war
U-2511,0,494,,1945-05-09,Survived the war
U-2512,0,488,,1945-05-03,Survived the war
U-2513,0,494,,1945-05-09,Survived the war
U-2514,0,463,,1945-04-08,Did not survive the War
U-2515,0,382,,1945-01-17,Did not survive the War
U-2516,0,464,,1945-04-09,Did not survive the War
U-2517,0,490,,1945-05-05,Survived the war
U-2518,0,494,,1945-05-09,Survived the war
U-2519,0,488,,1945-05-03,Survived the war
U-252,1,468,468,1942-04-14,Did not survive the War
U-2520,0,488,,1945-05-03,Survived the war
U-2521,0,488,,1945-05-03,Survived the war
U-2522,0,490,,1945-05-05,Survived the war
U-2523,0,382,,1945-01-17,Did not survive the War
U-2524,0,488,,1945-05-03,Survived the war
U-2525,0,490,,1945-05-05,Survived the war
U-2526,0,487,,1945-05-02,Survived the war
U-2527,0,487,,1945-05-02,Survived the war
U-2528,0,487,,1945-05-02,Survived the war
U-2529,0,494,,1945-05-09,Survived the war
U-253,0,632,,1942-09-25,Did not survive the War
U-2530,0,416,,1945-02-20,Did not survive the War
U-2531,0,487,,1945-05-02,Survived the war
U-2533,0,488,,1945-05-03,Survived the war
U-2534,0,488,,1945-05-03,Survived the war
U-2535,0,487,,1945-05-02,Survived the war
U-2536,0,487,,1945-05-02,Survived the war
U-2538,0,127,,1945-05-08,Survived the war
U-2539,0,122,,1945-05-03,Survived the war
U-254,3,706,235,1942-12-08,Did not survive the War
U-2540,0,123,,1945-05-04,Survived the war
U-2541,0,124,,1945-05-05,Survived the war
U-2542,0,122,,1945-05-03,Survived the war
U-2543,0,122,,1945-05-03,Survived the war
U-2544,0,124,,1945-05-05,Survived the war
U-2545,0,122,,1945-05-03,Survived the war
U-2546,0,122,,1945-05-03,Survived the war
U-2548,0,122,,1945-05-03,Survived the war
U-255,11,1597,145,1945-05-17,Survived the war
U-2551,0,124,,1945-05-05,Survived the war
U-2552,0,122,,1945-05-03,Survived the war
U-256,1,1391,1391,1944-10-23,Did not survive the War
U-257,0,1149,,1944-02-24,Did not survive the War
U-258,1,869,869,1943-05-20,Did not survive the War
