UboatName,TotalShipsSunked,Days_in_service,Days_per_ship,FateDate,WarOutCome
U-259,0,683,,1942-11-15,Did not survive the War
U-26,11,1643,149,1940-07-01,Did not survive the War
U-260,1,1166,1166,1945-03-12,Did not survive the War
U-261,0,257,,1942-09-15,Did not survive the War
U-262,4,1187,296,1945-04-02,Did not survive the War
U-263,2,749,374,1944-01-20,Did not survive the War
U-264,3,779,259,1944-02-19,Did not survive the War
U-265,0,398,,1943-02-03,Did not survive the War
U-266,4,499,124,1943-05-15,Did not survive the War
U-267,0,1220,,1945-05-05,Survived the war
U-268,4,414,103,1943-02-19,Did not survive the War
U-269,0,906,,1944-06-25,Did not survive the War
U-27,2,1358,679,1939-09-20,Did not survive the War
U-270,1,955,955,1944-08-13,Did not survive the War
U-271,0,757,,1944-01-28,Did not survive the War
U-272,0,315,,1942-11-12,Did not survive the War
U-273,0,503,,1943-05-19,Did not survive the War
U-274,0,660,,1943-10-23,Did not survive the War
U-275,2,1164,582,1945-03-10,Did not survive the War
U-276,0,1218,,1945-05-03,Survived the war
U-277,0,851,,1944-05-01,Did not survive the War
U-278,2,1224,612,1945-05-09,Survived the war
U-279,0,641,,1943-10-04,Did not survive the War
U-28,12,2998,249,1944-03-17,Did not survive the War
U-280,0,319,,1943-11-16,Did not survive the War
U-281,0,859,,1945-05-09,Survived the war
U-282,0,301,,1943-10-29,Did not survive the War
U-283,0,406,,1944-02-11,Did not survive the War
U-284,0,354,,1943-12-21,Did not survive the War
U-285,0,835,,1945-04-15,Did not survive the War
U-286,1,849,849,1945-04-29,Did not survive the War
U-287,0,866,,1945-05-16,Survived the war
U-288,0,458,,1944-04-03,Did not survive the War
U-289,0,516,,1944-05-31,Did not survive the War
U-29,13,3412,262,1945-05-05,Survived the war
U-290,0,855,,1945-05-05,Survived the war
U-291,0,855,,1945-05-05,Survived the war
U-292,0,512,,1944-05-27,Did not survive the War
U-293,0,861,,1945-05-11,Survived the war
U-294,0,859,,1945-05-09,Survived the war
U-295,0,859,,1945-05-09,Survived the war
U-296,0,801,,1945-03-12,Did not survive the War
U-297,0,705,,1944-12-06,Did not survive the War
U-298,0,859,,1945-05-09,Survived the war
U-299,0,859,,1945-05-09,Survived the war
U-3,2,3500,1750,1944-08-01,Did not survive the War
U-30,17,3412,200,1945-05-05,Survived the war
U-300,2,783,391,1945-02-22,Did not survive the War
U-3001,0,488,,1945-05-03,Survived the war
U-3002,0,487,,1945-05-02,Survived the war
U-3003,0,488,,1945-05-03,Survived the war
U-3004,0,488,,1945-05-03,Survived the war
U-3005,0,488,,1945-05-03,Survived the war
U-3006,0,486,,1945-05-01,Did not survive the War
U-3007,0,420,,1945-02-24,Did not survive the War
U-3008,0,496,,1945-05-11,Survived the war
U-3009,0,486,,1945-05-01,Did not survive the War
U-301,0,385,,1943-01-21,Did not survive the War
U-3010,0,488,,1945-05-03,Survived the war
U-3011,0,487,,1945-05-02,Survived the war
U-3012,0,488,,1945-05-03,Survived the war
U-3013,0,488,,1945-05-03,Survived the war
U-3014,0,488,,1945-05-03,Survived the war
U-3015,0,490,,1945-05-05,Survived the war
U-3016,0,487,,1945-05-02,Survived the war
U-3017,0,494,,1945-05-09,Survived the war
U-3018,0,487,,1945-05-02,Survived the war
U-3019,0,487,,1945-05-02,Survived the war
U-302,3,826,275,1944-04-06,Did not survive the War
U-3020,0,487,,1945-05-02,Survived the war
U-3021,0,487,,1945-05-02,Survived the war
U-3022,0,490,,1945-05-05,Survived the war
U-3023,0,488,,1945-05-03,Survived the war
U-3024,0,488,,1945-05-03,Survived the war
U-3025,0,488,,1945-05-03,Survived the war
U-3026,0,488,,1945-05-03,Survived the war
U-3027,0,488,,1945-05-03,Survived the war
U-3028,0,488,,1945-05-03,Survived the war
U-3029,0,488,,1945-05-03,Survived the war
U-303,1,505,505,1943-05-21,Did not survive the War
U-3030,0,493,,1945-05-08,Survived the war
U-3031,0,122,,1945-05-03,Survived the war
U-3032,0,122,,1945-05-03,Survived the war
U-3033,0,123,,1945-05-04,Survived the war
U-3034,0,123,,1945-05-04,Survived the war
U-3035,0,128,,1945-05-09,Survived the war
U-3037,0,122,,1945-05-03,Survived the war
U-3038,0,122,,1945-05-03,Survived the war
U-3039,0,122,,1945-05-03,Survived the war
U-304,0,512,,1943-05-28,Did not survive the War
U-3040,0,122,,1945-05-03,Survived the war
U-3041,0,128,,1945-05-09,Survived the war
U-3044,0,124,,1945-05-05,Survived the war
U-305,4,745,186,1944-01-16,Did not survive the War
U-306,1,668,668,1943-10-31,Did not survive the War
U-307,2,1214,607,1945-04-29,Did not survive the War
U-308,0,519,,1943-06-04,Did not survive the War
U-309,0,1142,,1945-02-16,Did not survive the War
U-31,13,1767,135,1940-11-02,Did not survive the War
U-310,2,859,429,1945-05-09,Survived the war
U-311,1,477,477,1944-04-22,Did not survive the War
U-312,0,859,,1945-05-09,Survived the war
U-313,0,859,,1945-05-09,Survived the war
U-314,0,394,,1944-01-30,Did not survive the War
U-315,2,859,429,1945-05-09,Survived the war
U-316,0,852,,1945-05-02,Survived the war
U-317,0,542,,1944-06-26,Did not survive the War
U-318,0,859,,1945-05-09,Survived the war
U-319,0,561,,1944-07-15,Did not survive the War
U-32,20,1398,69,1940-10-30,Did not survive the War
U-320,0,858,,1945-05-08,Survived the war
U-321,0,822,,1945-04-02,Did not survive the War
U-322,1,728,728,1944-12-29,Did not survive the War
U-323,0,490,,1945-05-05,Survived the war
U-324,0,494,,1945-05-09,Survived the war
U-325,0,485,,1945-04-30,Did not survive the War
U-326,0,485,,1945-04-30,Did not survive the War
U-327,0,399,,1945-02-03,Did not survive the War
U-328,0,494,,1945-05-09,Survived the war
U-33,10,1503,150,1940-02-12,Did not survive the War
U-331,2,1051,525,1942-11-17,Did not survive the War
U-332,8,848,106,1943-04-29,Did not survive the War
U-333,7,1307,186,1944-07-31,Did not survive the War
U-334,2,894,447,1943-06-14,Did not survive the War
U-335,0,579,,1942-08-03,Did not survive the War
U-336,1,1007,1007,1943-10-05,Did not survive the War
U-337,0,367,,1943-01-03,Did not survive the War
U-338,4,627,156,1943-09-20,Did not survive the War
U-339,0,1220,,1945-05-05,Survived the war
U-34,23,2773,120,1943-08-05,Did not survive the War
U-340,0,670,,1943-11-02,Did not survive the War
U-341,0,626,,1943-09-19,Did not survive the War
U-342,0,837,,1944-04-17,Did not survive the War
U-343,0,799,,1944-03-10,Did not survive the War
U-344,1,599,599,1944-08-22,Did not survive the War
U-345,0,346,,1943-12-13,Did not survive the War
U-346,0,262,,1943-09-20,Did not survive the War
U-347,0,563,,1944-07-17,Did not survive the War
U-348,0,819,,1945-03-30,Did not survive the War
U-349,0,855,,1945-05-05,Survived the war
U-35,4,1428,357,1939-11-29,Did not survive the War
U-350,0,819,,1945-03-30,Did not survive the War
U-3501,0,486,,1945-05-01,Did not survive the War
U-3502,0,488,,1945-05-03,Survived the war
U-3503,0,493,,1945-05-08,Survived the war
U-3504,0,487,,1945-05-02,Survived the war
U-3505,0,458,,1945-04-03,Did not survive the War
U-3506,0,488,,1945-05-03,Survived the war
U-3507,0,488,,1945-05-03,Survived the war
U-3508,0,428,,1945-03-04,Did not survive the War
U-3509,0,488,,1945-05-03,Survived the war
U-351,0,1585,,1945-05-05,Survived the war
U-3510,0,490,,1945-05-05,Survived the war
U-3511,0,488,,1945-05-03,Survived the war
U-3512,0,463,,1945-04-08,Did not survive the War
U-3513,0,488,,1945-05-03,Survived the war
U-3514,0,494,,1945-05-09,Survived the war
U-3515,0,494,,1945-05-09,Survived the war
U-3516,0,487,,1945-05-02,Survived the war
U-3517,0,487,,1945-05-02,Survived the war
U-3518,0,488,,1945-05-03,Survived the war
U-3519,0,426,,1945-03-02,Did not survive the War
U-352,0,493,,1942-05-09,Did not survive the War
U-3520,0,396,,1945-01-31,Did not survive the War
U-3521,0,487,,1945-05-02,Survived the war
U-3522,0,487,,1945-05-02,Survived the war
U-3523,0,491,,1945-05-06,Survived the war
U-3524,0,490,,1945-05-05,Survived the war
U-3525,0,488,,1945-05-03,Survived the war
U-3526,0,490,,1945-05-05,Survived the war
U-3527,0,124,,1945-05-05,Survived the war
U-3528,0,124,,1945-05-05,Survived the war
U-3529,0,124,,1945-05-05,Survived the war
U-353,0,653,,1942-10-16,Did not survive the War
U-3530,0,122,,1945-05-03,Survived the war
U-354,3,966,322,1944-08-24,Did not survive the War
U-355,1,1186,1186,1944-04-01,Did not survive the War
U-356,3,725,241,1942-12-27,Did not survive the War
U-357,0,359,,1942-12-26,Did not survive the War
U-358,5,790,158,1944-03-01,Did not survive the War
U-359,0,571,,1943-07-26,Did not survive the War
U-36,3,1433,477,1939-12-04,Did not survive the War
U-360,0,822,,1944-04-02,Did not survive the War
U-361,0,928,,1944-07-17,Did not survive the War
U-362,0,978,,1944-09-05,Did not survive the War
U-363,0,1224,,1945-05-09,Survived the war
U-364,0,393,,1944-01-29,Did not survive the War
U-365,4,712,178,1944-12-13,Did not survive the War
U-366,0,429,,1944-03-05,Did not survive the War
U-367,0,805,,1945-03-16,Did not survive the War
U-368,0,855,,1945-05-05,Survived the war
U-369,0,859,,1945-05-09,Survived the war
U-37,55,2684,48,1945-05-08,Survived the war
U-370,2,855,427,1945-05-05,Survived the war
U-371,11,1219,110,1944-05-04,Did not survive the War
U-372,4,580,145,1942-08-04,Did not survive the War
U-373,3,1254,418,1944-06-08,Did not survive the War
U-374,3,376,125,1942-01-12,Did not survive the War
U-375,8,935,116,1943-07-25,Did not survive the War
U-376,2,826,413,1943-04-07,Did not survive the War
U-377,0,1111,,1944-01-17,Did not survive the War
U-378,1,1022,1022,1943-10-20,Did not survive the War
U-379,2,584,292,1942-08-08,Did not survive the War
U-38,35,2681,76,1945-05-05,Survived the war
U-380,2,1165,582,1944-03-11,Did not survive the War
U-381,0,494,,1943-05-10,Did not survive the War
U-382,0,1220,,1945-05-05,Survived the war
U-383,1,577,577,1943-08-01,Did not survive the War
U-384,2,442,221,1943-03-19,Did not survive the War
U-385,0,953,,1944-08-11,Did not survive the War
U-386,1,779,779,1944-02-19,Did not survive the War
U-387,0,1073,,1944-12-09,Did not survive the War
U-388,0,535,,1943-06-20,Did not survive the War
U-389,0,641,,1943-10-04,Did not survive the War
U-39,0,621,,1939-09-14,Did not survive the War
U-390,1,551,551,1944-07-05,Did not survive the War
U-391,0,346,,1943-12-13,Did not survive the War
U-392,0,440,,1944-03-16,Did not survive the War
U-393,0,855,,1945-05-05,Survived the war
U-394,0,610,,1944-09-02,Did not survive the War
U-396,0,831,,1945-04-11,Did not survive the War
U-397,0,855,,1945-05-05,Survived the war
U-398,0,837,,1945-04-17,Did not survive the War
U-399,1,815,815,1945-03-26,Did not survive the War
U-4,4,3500,875,1944-08-01,Did not survive the War
U-40,0,650,,1939-10-13,Did not survive the War
U-400,0,349,,1944-12-15,Did not survive the War
U-401,0,580,,1941-08-03,Did not survive the War
U-402,15,1381,92,1943-10-13,Did not survive the War
U-403,2,959,479,1943-08-18,Did not survive the War
U-404,15,938,62,1943-07-28,Did not survive the War
U-405,5,1034,206,1943-11-01,Did not survive the War
U-406,1,1143,1143,1944-02-18,Did not survive the War
U-407,3,1357,452,1944-09-19,Did not survive the War
U-408,3,673,224,1942-11-05,Did not survive the War
U-409,5,922,184,1943-07-12,Did not survive the War
U-41,5,400,80,1940-02-05,Did not survive the War
U-410,9,1165,129,1944-03-11,Did not survive the War
U-411,0,681,,1942-11-13,Did not survive the War
U-412,0,659,,1942-10-22,Did not survive the War
U-413,6,962,160,1944-08-20,Did not survive the War
U-414,1,509,509,1943-05-25,Did not survive the War
U-415,2,925,462,1944-07-14,Did not survive the War
U-416,0,1076,,1944-12-12,Did not survive the War
U-417,0,526,,1943-06-11,Did not survive the War
U-418,0,514,,1943-05-30,Did not survive the War
U-419,0,645,,1943-10-08,Did not survive the War
U-42,1,285,285,1939-10-13,Did not survive the War
U-420,0,657,,1943-10-20,Did not survive the War
U-421,0,849,,1944-04-29,Did not survive the War
U-422,0,641,,1943-10-04,Did not survive the War
U-423,0,898,,1944-06-17,Did not survive the War
U-424,0,771,,1944-02-11,Did not survive the War
U-425,0,1143,,1945-02-17,Did not survive the War
U-426,1,372,372,1944-01-08,Did not survive the War
U-427,0,859,,1945-05-09,Survived the war
U-428,0,855,,1945-05-05,Survived the war
U-429,0,819,,1945-03-30,Did not survive the War
U-43,21,1671,79,1943-07-30,Did not survive the War
U-430,0,819,,1945-03-30,Did not survive the War
U-431,9,1023,113,1943-10-21,Did not survive the War
U-432,21,799,38,1943-03-11,Did not survive the War
U-433,0,319,,1941-11-16,Did not survive the War
U-434,0,351,,1941-12-18,Did not survive the War
U-435,13,919,70,1943-07-09,Did not survive the War
U-436,7,875,125,1943-05-26,Did not survive the War
U-437,0,1373,,1944-10-05,Did not survive the War
U-438,3,855,285,1943-05-06,Did not survive the War
U-439,0,853,,1943-05-04,Did not survive the War
U-44,8,437,54,1940-03-13,Did not survive the War
U-440,0,880,,1943-05-31,Did not survive the War
U-441,1,1276,1276,1944-06-30,Did not survive the War
U-442,4,407,101,1943-02-12,Did not survive the War
U-443,4,418,104,1943-02-23,Did not survive the War
U-444,0,434,,1943-03-11,Did not survive the War
U-445,0,966,,1944-08-24,Did not survive the War
U-446,0,1218,,1945-05-03,Survived the war
U-447,0,491,,1943-05-07,Did not survive the War
U-448,0,834,,1944-04-14,Did not survive the War
U-449,0,539,,1943-06-24,Did not survive the War
U-45,2,651,325,1939-10-14,Did not survive the War
U-450,0,799,,1944-03-10,Did not survive the War
U-451,1,354,354,1941-12-21,Did not survive the War
U-452,0,236,,1941-08-25,Did not survive the War
U-453,11,1236,112,1944-05-21,Did not survive the War
U-454,2,942,471,1943-08-01,Did not survive the War
U-455,3,1190,396,1944-04-05,Did not survive the War
U-456,6,861,143,1943-05-12,Did not survive the War
U-457,2,623,311,1942-09-16,Did not survive the War
U-458,2,963,481,1943-08-22,Did not survive the War
U-459,0,934,,1943-07-24,Did not survive the War
U-46,22,2681,121,1945-05-05,Survived the war
U-460,0,1006,,1943-10-04,Did not survive the War
U-461,0,940,,1943-07-30,Did not survive the War
U-462,0,940,,1943-07-30,Did not survive the War
U-463,0,865,,1943-05-16,Did not survive the War
U-464,0,596,,1942-08-20,Did not survive the War
U-465,0,486,,1943-05-02,Did not survive the War
U-466,0,961,,1944-08-19,Did not survive the War
U-467,0,509,,1943-05-25,Did not survive the War
U-468,1,587,587,1943-08-11,Did not survive the War
U-469,0,448,,1943-03-25,Did not survive the War
U-47,31,1161,37,1941-03-07,Did not survive the War
U-470,0,653,,1943-10-16,Did not survive the War
U-4701,0,490,,1945-05-05,Survived the war
U-4702,0,490,,1945-05-05,Survived the war
U-4703,0,124,,1945-05-05,Survived the war
U-4704,0,124,,1945-05-05,Survived the war
U-4705,0,122,,1945-05-03,Survived the war
U-4706,0,128,,1945-05-09,Survived the war
U-4707,0,124,,1945-05-05,Survived the war
U-4709,0,123,,1945-05-04,Survived the war
U-471,0,583,,1944-08-06,Did not survive the War
U-4710,0,124,,1945-05-05,Survived the war
U-4711,0,123,,1945-05-04,Survived the war
U-4712,0,122,,1945-05-03,Survived the war
U-472,0,428,,1944-03-04,Did not survive the War
U-473,1,491,491,1944-05-06,Did not survive the War
U-475,0,853,,1945-05-03,Survived the war
U-476,0,510,,1944-05-25,Did not survive the War
U-477,0,519,,1944-06-03,Did not survive the War
U-478,0,546,,1944-06-30,Did not survive the War
U-479,0,696,,1944-11-27,Did not survive the War
U-48,51,2314,45,1945-05-03,Survived the war
U-480,4,759,189,1945-01-29,Did not survive the War
U-481,7,859,122,1945-05-09,Survived the war
U-482,5,694,138,1944-11-25,Did not survive the War
U-483,1,859,859,1945-05-09,Survived the war
U-484,0,617,,1944-09-09,Did not survive the War
U-485,0,497,,1945-05-12,Survived the war
U-486,4,467,116,1945-04-12,Did not survive the War
U-487,0,558,,1943-07-13,Did not survive the War
U-488,0,846,,1944-04-26,Did not survive the War
U-489,0,580,,1943-08-04,Did not survive the War
U-49,1,470,470,1940-04-15,Did not survive the War
U-490,0,893,,1944-06-12,Did not survive the War
U-5,0,2999,,1943-03-19,Did not survive the War
U-50,4,461,115,1940-04-06,Did not survive the War
U-501,1,252,252,1941-09-10,Did not survive the War
U-502,14,551,39,1942-07-06,Did not survive the War
U-503,0,438,,1942-03-15,Did not survive the War
U-504,15,940,62,1943-07-30,Did not survive the War
U-505,8,1250,156,1944-06-04,Did not survive the War
U-506,14,922,65,1943-07-12,Did not survive the War
U-507,19,742,39,1943-01-13,Did not survive the War
U-508,14,1045,74,1943-11-12,Did not survive the War
U-509,5,925,185,1943-07-15,Did not survive the War
U-51,6,962,160,1940-08-20,Did not survive the War
U-510,12,1590,132,1945-05-10,Survived the war
U-511,5,1673,334,1945-08-01,Survived the war
U-512,3,366,122,1942-01-02,Did not survive the War
U-513,6,929,154,1943-07-19,Did not survive the War
U-514,4,918,229,1943-07-08,Did not survive the War
U-515,24,1194,49,1944-04-09,Did not survive the War
U-516,16,1594,99,1945-05-14,Survived the war
U-517,9,689,76,1942-11-21,Did not survive the War
U-518,9,1207,134,1945-04-22,Did not survive the War
U-519,0,395,,1943-01-31,Did not survive the War
U-52,13,2314,178,1945-05-03,Survived the war
U-520,0,302,,1942-10-30,Did not survive the War
U-521,4,517,129,1943-06-02,Did not survive the War
U-522,7,418,59,1943-02-23,Did not survive the War
U-523,1,601,601,1943-08-25,Did not survive the War
U-524,2,445,222,1943-03-22,Did not survive the War
U-525,1,587,587,1943-08-11,Did not survive the War
U-526,0,468,,1943-04-14,Did not survive the War
U-527,2,568,284,1943-07-23,Did not survive the War
U-528,0,495,,1943-05-11,Did not survive the War
U-529,0,410,,1943-02-15,Did not survive the War
U-53,7,419,59,1940-02-24,Did not survive the War
U-530,2,1286,643,1945-07-10,Survived the war
U-531,0,490,,1943-05-06,Did not survive the War
U-532,8,1228,153,1945-05-13,Survived the war
U-533,0,653,,1943-10-16,Did not survive the War
U-534,0,1220,,1945-05-05,Survived the war
U-535,0,550,,1943-07-05,Did not survive the War
U-536,0,688,,1943-11-20,Did not survive the War
U-537,0,1044,,1944-11-10,Did not survive the War
U-538,0,689,,1943-11-21,Did not survive the War
U-539,1,1224,1224,1945-05-09,Survived the war
U-54,0,408,,1940-02-13,Did not survive the War
U-540,0,654,,1943-10-17,Did not survive the War
U-541,1,862,862,1945-05-12,Survived the war
U-542,0,331,,1943-11-28,Did not survive the War
U-543,0,548,,1944-07-02,Did not survive the War
